Tw, K	dTliq, K	P, atm.	Ts, K	L, m	Rw, kg/m3	Cw, J/kg/K	Kw, W/m/K	Rl, kg/m3	Cl, J/kg/K	Kl, W/m/K	Ll, Pa*sec	Q, N/m	dH, J/kg	Tlim, K
6,076270E+2	3,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,213507E+2	3,648111E+3	3,474814E-1	6,085358E-4	2,751946E-2	1,360967E+6	5,164731E+2
6,812700E+2	1,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,144688E+2	3,711147E+3	3,470953E-1	5,151776E-4	2,751946E-2	1,360967E+6	5,164731E+2
7,669450E+2	1,254716E+1	1,000000E+0	3,557072E+2	2,500000E-2	8,905777E+3	4,748441E+2	8,843385E+1	9,144688E+2	3,711147E+3	3,470953E-1	5,151776E-4	2,751946E-2	1,360967E+6	5,164731E+2
3,948990E+2	1,068401E+2	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,734866E+3	9,389989E+2	5,837055E-2	9,253656E-4	8,289191E-3	8,249410E+4	3,942066E+2
3,933290E+2	8,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,711330E+3	9,999698E+2	5,720242E-2	7,827790E-4	8,289191E-3	8,249410E+4	3,942066E+2
3,887450E+2	6,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,687267E+3	1,043364E+3	5,603430E-2	6,715617E-4	8,289191E-3	8,249410E+4	3,942066E+2
3,837410E+2	4,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,662808E+3	1,070712E+3	5,486623E-2	5,835952E-4	8,289191E-3	8,249410E+4	3,942066E+2
3,796810E+2	2,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,638025E+3	1,085330E+3	5,369827E-2	5,135244E-4	8,289191E-3	8,249410E+4	3,942066E+2
5,937420E+2	1,277072E+2	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	8,132103E+2	2,488027E+3	1,750340E-1	1,677716E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,710700E+2	1,077072E+2	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	8,061877E+2	2,609127E+3	1,727596E-1	1,348004E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,586580E+2	8,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,989812E+2	2,729892E+3	1,706638E-1	1,097506E-3	1,587337E-2	8,791950E+5	4,533142E+2
5,489960E+2	6,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,912657E+2	2,848474E+3	1,686630E-1	9,037466E-4	1,587337E-2	8,791950E+5	4,533142E+2
5,278170E+2	4,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,828507E+2	2,963538E+3	1,666870E-1	7,516054E-4	1,587337E-2	8,791950E+5	4,533142E+2
4,737760E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
4,841950E+2	2,770719E+1	1,000000E+0	3,508672E+2	2,500000E-2	8,939654E+3	4,609689E+2	9,563396E+1	7,736562E+2	3,074243E+3	1,646796E-1	6,306375E-4	1,587337E-2	8,791950E+5	4,533142E+2
6,153850E+2	6,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	8,930825E+3	4,646470E+2	9,390775E+1	8,428661E+2	3,004460E+3	1,993092E-1	1,122130E-3	1,794446E-2	9,731458E+5	4,696929E+2
6,213500E+2	6,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	8,930825E+3	4,646470E+2	9,390775E+1	8,428661E+2	3,004460E+3	1,993092E-1	1,122130E-3	1,794446E-2	9,731458E+5	4,696929E+2
5,903050E+2	4,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	8,930825E+3	4,646470E+2	9,390775E+1	8,353476E+2	3,111303E+3	1,975057E-1	9,101598E-4	1,794446E-2	9,731458E+5	4,696929E+2
5,294740E+2	2,865177E+1	1,000000E+0	3,518118E+2	2,500000E-2	8,930825E+3	4,646470E+2	9,390775E+1	8,270804E+2	3,213401E+3	1,955625E-1	7,488099E-4	1,794446E-2	9,731458E+5	4,696929E+2
4,752650E+2	8,651766E+0	1,000000E+0	3,518118E+2	2,500000E-2	8,930825E+3	4,646470E+2	9,390775E+1	8,180522E+2	3,310596E+3	1,934471E-1	6,241327E-4	1,794446E-2	9,731458E+5	4,696929E+2
4,295460E+2	1,068401E+2	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,734866E+3	9,389989E+2	5,837055E-2	9,253656E-4	8,289191E-3	8,249410E+4	3,942066E+2
4,296670E+2	8,684013E+1	1,000000E+0	3,300001E+2	2,500000E-2	8,972248E+3	4,470109E+2	1,003070E+2	1,711330E+3	9,999698E+2	5,720242E-2	7,827790E-4	8,289191E-3	8,249410E+4	3,942066E+2
